2023-10-19 20:49:57,386 | root | DEBUG | Console.Thread $Start |(Server.py:86)
2023-10-19 20:50:12,459 | root | INFO | New connection <('127.0.0.1', 64961)>:S85 |(Server.py:58)
2023-10-19 20:50:12,459 | root | INFO | new Thread ('127.0.0.1', 64961) |(Server.py:103)
2023-10-19 20:50:19,269 | root | INFO | [/Broadcast] (/msg) |(Server.py:136)
2023-10-19 20:51:39,481 | root | INFO | New connection <('127.0.0.1', 64972)>:S85 |(Server.py:58)
2023-10-19 20:51:39,481 | root | INFO | new Thread ('127.0.0.1', 64972) |(Server.py:103)
2023-10-19 20:51:42,317 | root | WARNING | [Unknown input](.ьып) |(Server.py:195)
2023-10-19 20:51:44,932 | root | INFO | [/Broadcast] (/msg) |(Server.py:136)
2023-10-19 20:56:54,106 | root | INFO | New connection <('127.0.0.1', 65035)>:S85 |(Server.py:58)
2023-10-19 20:56:54,106 | root | INFO | new Thread ('127.0.0.1', 65035) |(Server.py:103)
2023-10-19 20:57:05,037 | root | INFO | [/Broadcast] (/msg) |(Server.py:136)
2023-10-19 20:58:16,711 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c -1) |(Server.py:136)
2023-10-19 20:58:22,252 | root | INFO | [/Broadcast] (/stop) |(Server.py:136)
2023-10-19 20:58:29,844 | root | INFO | [/Broadcast] (/"stop") |(Server.py:136)
2023-10-19 21:06:01,034 | root | INFO | New connection <('127.0.0.1', 65253)>:S85 |(Server.py:58)
2023-10-19 21:06:01,035 | root | INFO | new Thread ('127.0.0.1', 65253) |(Server.py:103)
2023-10-19 21:06:07,534 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c -1) |(Server.py:136)
2023-10-19 21:06:15,907 | root | INFO | [/Broadcast] (/stop) |(Server.py:136)
2023-10-19 21:12:36,606 | root | INFO | New connection <('127.0.0.1', 65380)>:S85 |(Server.py:58)
2023-10-19 21:12:36,607 | root | INFO | new Thread ('127.0.0.1', 65380) |(Server.py:103)
2023-10-19 21:12:38,933 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c -1) |(Server.py:136)
2023-10-19 21:12:42,941 | root | INFO | [/Broadcast] (/stop) |(Server.py:136)
2023-10-19 21:39:18,379 | root | INFO | New connection <('127.0.0.1', 49464)>:S85 |(Server.py:58)
2023-10-19 21:39:18,379 | root | INFO | new Thread ('127.0.0.1', 49464) |(Server.py:103)
2023-10-19 21:39:18,380 | root | INFO | New connection <('127.0.0.1', 49465)>:S85 |(Server.py:58)
2023-10-19 21:39:18,381 | root | INFO | new Thread ('127.0.0.1', 49465) |(Server.py:103)
2023-10-19 21:39:18,382 | root | INFO | New connection <('127.0.0.1', 49466)>:S85 |(Server.py:58)
2023-10-19 21:39:18,383 | root | INFO | new Thread ('127.0.0.1', 49466) |(Server.py:103)
2023-10-19 21:39:18,383 | root | INFO | New connection <('127.0.0.1', 49467)>:S85 |(Server.py:58)
2023-10-19 21:39:18,384 | root | INFO | new Thread ('127.0.0.1', 49467) |(Server.py:103)
